,precision,recall,f1-score,support
Afghani,0.0,0.0,0.0,3.0
African,0.0,0.0,0.0,0.0
American,0.19230769230769232,0.056179775280898875,0.08695652173913043,89.0
Andhra,0.0,0.0,0.0,4.0
Arabian,0.3333333333333333,0.2,0.25,5.0
Argentine,0.0,0.0,0.0,0.0
Armenian,0.0,0.0,0.0,0.0
Asian,0.0,0.0,0.0,39.0
Asian Fusion,0.0,0.0,0.0,0.0
Assamese,0.0,0.0,0.0,0.0
Australian,0.0,0.0,0.0,0.0
Awadhi,0.0,0.0,0.0,5.0
BBQ,0.0,0.0,0.0,10.0
Bakery,0.0,0.0,0.0,140.0
Bar Food,0.0,0.0,0.0,12.0
Belgian,0.0,0.0,0.0,0.0
Bengali,0.0,0.0,0.0,12.0
Beverages,0.0,0.0,0.0,47.0
Bihari,0.0,0.0,0.0,1.0
Biryani,0.25,0.02631578947368421,0.04761904761904762,38.0
Brazilian,0.5,0.2,0.28571428571428575,5.0
Breakfast,0.0,0.0,0.0,7.0
British,0.0,0.0,0.0,1.0
Bubble Tea,0.0,0.0,0.0,1.0
Burger,0.0,0.0,0.0,57.0
Burmese,0.0,0.0,0.0,3.0
B�_rek,0.0,0.0,0.0,1.0
Cafe,0.07142857142857142,0.014705882352941176,0.024390243902439025,136.0
Cajun,0.0,0.0,0.0,3.0
Canadian,0.0,0.0,0.0,0.0
Cantonese,0.0,0.0,0.0,1.0
Caribbean,0.0,0.0,0.0,1.0
Charcoal Grill,0.0,0.0,0.0,0.0
Chettinad,0.0,0.0,0.0,4.0
Chinese,0.2893081761006289,0.08598130841121496,0.13256484149855907,535.0
Coffee and Tea,0.0,0.0,0.0,6.0
Contemporary,0.0,0.0,0.0,2.0
Continental,0.125,0.02097902097902098,0.03592814371257485,143.0
Cuban,0.0,0.0,0.0,1.0
Cuisine Varies,0.0,0.0,0.0,0.0
Curry,0.0,0.0,0.0,1.0
Deli,0.0,0.0,0.0,1.0
Desserts,0.0,0.0,0.0,121.0
Dim Sum,0.0,0.0,0.0,0.0
Diner,0.0,0.0,0.0,1.0
Drinks Only,0.0,0.0,0.0,0.0
Durban,0.0,0.0,0.0,0.0
D�_ner,0.0,0.0,0.0,0.0
European,0.0,0.0,0.0,30.0
Fast Food,0.2,0.03535353535353535,0.060085836909871244,396.0
Filipino,0.0,0.0,0.0,3.0
Finger Food,0.0,0.0,0.0,22.0
Fish and Chips,0.0,0.0,0.0,1.0
French,0.0,0.0,0.0,9.0
Fusion,0.0,0.0,0.0,2.0
German,0.0,0.0,0.0,4.0
Goan,0.0,0.0,0.0,4.0
Gourmet Fast Food,0.0,0.0,0.0,0.0
Greek,0.0,0.0,0.0,5.0
Grill,0.0,0.0,0.0,7.0
Gujarati,0.0,0.0,0.0,3.0
Hawaiian,0.0,0.0,0.0,2.0
Healthy Food,0.0,0.0,0.0,38.0
Hyderabadi,0.0,0.0,0.0,7.0
Ice Cream,0.0,0.0,0.0,46.0
Indian,0.2,0.05263157894736842,0.08333333333333333,19.0
Indonesian,0.0,0.0,0.0,3.0
International,0.0,0.0,0.0,4.0
Iranian,0.0,0.0,0.0,0.0
Irish,0.0,0.0,0.0,0.0
Italian,0.08,0.012738853503184714,0.02197802197802198,157.0
Izgara,0.0,0.0,0.0,0.0
Japanese,0.0,0.0,0.0,27.0
Juices,0.0,0.0,0.0,5.0
Kashmiri,0.0,0.0,0.0,5.0
Kebab,0.0,0.0,0.0,1.0
Kerala,0.0,0.0,0.0,5.0
Kiwi,0.0,0.0,0.0,1.0
Korean,0.0,0.0,0.0,3.0
Latin American,0.0,0.0,0.0,4.0
Lebanese,0.0,0.0,0.0,13.0
Lucknowi,0.0,0.0,0.0,3.0
Maharashtrian,0.0,0.0,0.0,4.0
Malay,0.0,0.0,0.0,1.0
Malaysian,0.0,0.0,0.0,4.0
Malwani,0.0,0.0,0.0,0.0
Mangalorean,0.0,0.0,0.0,1.0
